Month,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND,Total
10-Jan,115,163,136,73,33,520
10-Feb,105,126,117,59,8,415
10-Mar,156,272,246,102,27,803
10-Apr,169,277,239,155,46,886
10-May,174,365,279,142,93,1053
10-Jun,203,357,284,189,81,1114
10-Jul,227,389,362,210,101,1289
10-Aug,236,422,356,216,91,1321
10-Sep,188,365,267,155,65,1040
10-Oct,208,267,244,115,41,875
10-Nov,126,210,205,81,27,649
10-Dec,133,140,95,54,13,435
11-Jan,107,162,126,50,14,459
11-Feb,145,186,140,71,21,563
11-Mar,183,298,193,101,50,825
11-Apr,199,349,258,124,47,977
11-May,203,433,255,174,61,1126
11-Jun,206,465,271,218,90,1250
11-Jul,235,364,213,170,59,1041
11-Aug,196,365,244,191,59,1055
11-Sep,207,362,273,178,64,1084
11-Oct,191,299,172,137,36,835
11-Nov,119,192,158,98,28,595
11-Dec,164,175,144,73,12,568
12-Jan,130,225,212,83,19,669
12-Feb,137,187,162,73,30,589
12-Mar,167,268,202,117,37,791
12-Apr,163,269,216,116,34,798
12-May,250,381,303,144,64,1142
12-Jun,209,366,272,170,59,1076
12-Jul,219,425,281,173,79,1177
12-Aug,216,441,312,208,92,1269
12-Sep,195,349,253,174,53,1024
12-Oct,183,298,264,113,40,898
12-Nov,116,181,191,69,11,568
12-Dec,140,210,189,81,20,640
13-Jan,172,240,209,78,30,729
13-Feb,141,190,193,81,35,640
13-Mar,183,256,239,102,58,838
13-Apr,193,297,281,156,74,1001
13-May,195,334,313,246,71,1159
13-Jun,191,370,332,175,69,1137
13-Jul,216,388,336,214,74,1228
13-Aug,199,356,273,204,73,1105
13-Sep,195,300,270,156,60,981
13-Oct,163,270,242,120,60,855
13-Nov,120,165,181,76,27,569
13-Dec,153,141,151,52,11,508
14-Jan,145,147,157,63,9,521
14-Feb,139,173,145,67,17,541
14-Mar,189,193,244,113,43,782
14-Apr,215,305,288,128,54,990
14-May,264,386,346,153,87,1236
14-Jun,273,442,386,222,88,1411
14-Jul,252,504,346,223,72,1397
14-Aug,288,475,332,229,91,1415
14-Sep,269,415,336,187,53,1260
