BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND,Total
115,163,136,73,33,520
105,126,117,59,8,415
156,272,246,102,27,803
169,277,239,155,46,886
174,365,279,142,93,1053
203,357,284,189,81,1114
227,389,362,210,101,1289
236,422,356,216,91,1321
188,365,267,155,65,1040
208,267,244,115,41,875
126,210,205,81,27,649
133,140,95,54,13,435
107,162,126,50,14,459
145,186,140,71,21,563
183,298,193,101,50,825
199,349,258,124,47,977
203,433,255,174,61,1126
206,465,271,218,90,1250
235,364,213,170,59,1041
196,365,244,191,59,1055
207,362,273,178,64,1084
191,299,172,137,36,835
119,192,158,98,28,595
164,175,144,73,12,568
130,225,212,83,19,669
137,187,162,73,30,589
167,268,202,117,37,791
163,269,216,116,34,798
250,381,303,144,64,1142
209,366,272,170,59,1076
219,425,281,173,79,1177
216,441,312,208,92,1269
195,349,253,174,53,1024
183,298,264,113,40,898
116,181,191,69,11,568
140,210,189,81,20,640
172,240,209,78,30,729
141,190,193,81,35,640
183,256,239,102,58,838
193,297,281,156,74,1001
195,334,313,246,71,1159
191,370,332,175,69,1137
216,388,336,214,74,1228
199,356,273,204,73,1105
195,300,270,156,60,981
163,270,242,120,60,855
120,165,181,76,27,569
153,141,151,52,11,508
145,147,157,63,9,521
139,173,145,67,17,541
189,193,244,113,43,782
215,305,288,128,54,990
264,386,346,153,87,1236
273,442,386,222,88,1411
252,504,346,223,72,1397
288,475,332,229,91,1415
269,415,336,187,53,1260
